text,type,count-occurences-total,count-documents
1.4,CARDINAL,1,1
NVIDIA Jetson Xavier,ORG,1,1
two ± 30,DATE,1,1
LRF,ORG,2,1
eC,ORG,3,1
B.,ORG,3,2
2.3 Drone,QUANTITY,1,1
Bold,PRODUCT,1,1
I. Without,ORG,1,1
Kai et al,PERSON,1,1
RIB,ORG,2,1
1993,DATE,6,3
"qz  
",PERSON,1,1
Shuster,PERSON,3,1
¨pB,CARDINAL,2,1
− RIB,PERSON,1,1
Sensor Model Rate Details,PERSON,1,1
Cam Leopard,PERSON,1,1
IMX,ORG,1,1
264 60Hz,PRODUCT,1,1
1200,CARDINAL,1,1
±34.5,PERSON,1,1
rad/s resolution,PERSON,1,1
7e-4,CARDINAL,1,1
1e-3,CARDINAL,1,1
LRF Garmin,FAC,1,1
1–40,CARDINAL,1,1
0.01,CARDINAL,2,1
"Position Control 
Attitude Control 
Angular Velocity 
Path Planning 
Total Thrust",ORG,1,1
0.5 kg/s,QUANTITY,1,1
0.25 kg/s.,QUANTITY,1,1
ROVIO Bloesch,ORG,1,1
ROVIO,ORG,1,1
130,CARDINAL,9,4
IMU,ORG,1,1
3.4,CARDINAL,4,4
eight,CARDINAL,17,4
EKF,ORG,8,1
60Hz,DATE,1,1
approximately 35Hz,DATE,1,1
50Hz,DATE,1,1
Gaussians,NORP,2,1
Gaussian,NORP,22,7
4th,ORDINAL,4,4
"4, 3rd row",DATE,1,1
2nd,DATE,1,1
Afﬁnity Fields,PERSON,2,1
Cao,NORP,2,1
NC,GPE,1,1
NE,ORG,1,1
Ew×h×(NE·2,ORG,1,1
"4, 2nd",DATE,1,1
3rd,ORDINAL,7,5
4.1.1,CARDINAL,2,2
j(s,PERSON,2,1
C∗,CARDINAL,1,1
"exp 
",PERSON,1,1
− ∥s −,ORG,1,1
Groundtruth,PERSON,1,1
BR,PERSON,2,1
PAF,ORG,2,1
E∗,ORG,2,1
gate g.,PERSON,1,1
fourth,ORDINAL,3,2
Ew×h×(4·2,ORG,1,1
third,ORDINAL,20,10
2D,ORG,6,5
the middle gate,LOC,1,1
Sect,PERSON,1,1
E∗,PRODUCT,1,1
vk,GPE,1,1
4.,CARDINAL,5,5
s(u,ORG,1,1
lineraly,GPE,1,1
Kdimensional,ORG,1,1
NPHard West,ORG,1,1
k,ORG,1,1
max S(k,PERSON,1,1
zkl,PERSON,1,1
∈ Dk,PERSON,1,1
∈ Dl,PERSON,1,1
S(k,PERSON,1,1
Dl,PERSON,1,1
Hungarian,NORP,1,1
1955,DATE,2,1
4.3,CARDINAL,14,8
KLTTracking,ORG,1,1
28k,CARDINAL,1,1
24k,DATE,1,1
4k,CARDINAL,2,1
up to 30,CARDINAL,1,1
4.4 Network,CARDINAL,1,1
18,DATE,3,2
32,DATE,3,2
the Jetson Xavier,LOC,4,1
5.0.2.6,CARDINAL,1,1
592,CARDINAL,2,1
fed,ORG,2,2
1960,DATE,2,1
ϕIGi,PERSON,1,1
x(tk,PERSON,1,1
pGN−1,PERSON,1,1
x− k,PERSON,1,1
K k,ORG,1,1
x+ k,PERSON,1,1
Hk,PERSON,2,2
x−,PERSON,1,1
Jacobian Hk,PERSON,1,1
Forster et al,ORG,1,1
qIVref,ORG,1,1
qIVref,PERSON,2,1
qVrefV qVrefV,PERSON,1,1
1 −,CARDINAL,3,2
Jacobian,NORP,3,1
VrefV,PERSON,1,1
VrefV·˜qVrefV,NORP,1,1
15)byusing(13,CARDINAL,1,1
anduse[qIVref]×,PERSON,1,1
V. Note,PERSON,1,1
5.1.1 Gate,PRODUCT,1,1
Gate,ORG,2,1
sCoi,ORG,3,1
±w,GPE,1,1
±h,GPE,1,1
Szeliski,PERSON,2,1
2010,DATE,36,9
pCoi,ORG,5,1
hGate(x,ORG,1,1
pCoi j ]z,PERSON,1,1
,DATE,1,1
fx,ORG,1,1
IC  pGi,ORG,1,1
− pC ,PERSON,1,1
RIC,ORG,1,1
RIV RVB RBC,ORG,1,1
pBC,ORG,1,1
RBC,ORG,1,1
5.1.2,CARDINAL,2,2
sCoˆi,PERSON,3,1
sCoˆi jm−1,PERSON,1,1
⊺(sCoˆi,NORP,1,1
− sCoi,PERSON,1,1
RIBeBz,PERSON,2,1
RIV,ORG,1,1
B]z,ORG,1,1
RIV RVBeBz ]z,PERSON,1,1
22,CARDINAL,55,16
6.1,CARDINAL,13,7
Timeoptimal,ORG,2,1
≤,PERSON,5,3
Pontryagin,PERSON,1,1
Bertsekas,GPE,2,1
1995,DATE,5,3
x(t,PRODUCT,2,1
≤ vB,PERSON,1,1
Maurer,GPE,1,1
1977,DATE,2,1
24,CARDINAL,55,13
Time,ORG,4,3
0 0.5,CARDINAL,1,1
1.0,CARDINAL,14,4
1.96,CARDINAL,1,1
±7.5 m/s,ORG,1,1
αux,ORG,2,1
6.2,CARDINAL,15,8
Dijkstra,ORG,1,1
6.3,CARDINAL,12,7
¯pk(tk,ORG,1,1
25,CARDINAL,51,15
27,CARDINAL,36,13
"4a4,ks3 + 3a3,ks2 +",DATE,1,1
"+ 6a3,ks + 2a2,k",DATE,1,1
30,CARDINAL,57,12
pBerr,ORG,2,1
pBref,ORG,1,1
− pB,PERSON,1,1
2pos,CARDINAL,1,1
z.,PERSON,1,1
31,CARDINAL,24,12
¨pBref,PERSON,1,1
g  + RIB DR⊺,PERSON,1,1
7.2,CARDINAL,3,3
Brescianini,NORP,2,1
− qyqz,PERSON,1,1
"⎤ 
⎦",PERSON,1,1
33,CARDINAL,30,13
q−1 IB ⊗,PERSON,1,1
Tatt,PERSON,1,1
"Final Gate 
Gate 1 
Start 
Final Gate Gate 4 
Gate 3 
Gate 2 
Gate 1 Start 
Final Gate Gate 4 
Gate 3 
Gate 2 
Gate 1 Start",ORG,1,1
"6 m/s 
",QUANTITY,1,1
"4 m/s 
",QUANTITY,1,1
2 m/s,QUANTITY,1,1
74,CARDINAL,18,5
11.36,CARDINAL,2,1
only two,CARDINAL,5,3
6.5 m/s,QUANTITY,1,1
352,CARDINAL,3,2
NVIDIA,ORG,2,2
2080,CARDINAL,1,1
0.966,MONEY,1,1
0.967,CARDINAL,1,1
0.106,CARDINAL,1,1
0.964,CARDINAL,1,1
0.006,CARDINAL,1,1
0.948 0.997,MONEY,1,1
0.920,CARDINAL,1,1
0.085,CARDINAL,1,1
0.941,CARDINAL,1,1
0.862 58k 0.005,DATE,1,1
0.913 0.991,MONEY,1,1
0.634,CARDINAL,1,1
82k,DATE,1,1
0.072,CARDINAL,1,1
0.905,CARDINAL,1,1
27k,CARDINAL,1,1
IoU,NORP,1,1
96.4%,PERCENT,1,1
0.997,CARDINAL,1,1
0.918,CARDINAL,1,1
(1st row,DATE,1,1
2nd/3rd row,DATE,1,1
3.86GFLOPS,CARDINAL,1,1
40kFLOPS,CARDINAL,1,1
1 9.5935,CARDINAL,1,1
1.66,CARDINAL,1,1
2.35%,PERCENT,1,1
2 9.2913,CARDINAL,1,1
18.81,CARDINAL,1,1
26.56%,PERCENT,1,1
9.2709,ORG,1,1
35.74,CARDINAL,1,1
50.47%,PERCENT,1,1
4 9.2667 s,QUANTITY,1,1
53.00,CARDINAL,1,1
74.84%,PERCENT,1,1
9.2622,CARDINAL,1,1
70.81,CARDINAL,1,1
100%,PERCENT,11,8
CPC Foehn,ORG,1,1
6.520,CARDINAL,1,1
4.62,CARDINAL,1,1
105,CARDINAL,19,5
6524%,PERCENT,1,1
10.5 ms,QUANTITY,1,1
8.2,CARDINAL,2,2
Li et al,PERSON,1,1
EKFcorrected,ORG,1,1
pB. Towards,FAC,1,1
150,CARDINAL,22,4
N ≥,GPE,1,1
462,CARDINAL,1,1
Matlab,ORG,2,2
less than 2,CARDINAL,1,1
5 m/s,QUANTITY,1,1
8 m/s,TIME,1,1
60%,PERCENT,2,2
the Intel Network on Intelligent Systems,ORG,1,1
the Swiss National Science Foundation,ORG,1,1
the National Center of Competence in Research (NCCR) Robotics,ORG,1,1
SONY,ORG,1,1
Funding Open Access,WORK_OF_ART,1,1
Universitàt Zürich,PERSON,1,1
Open Access This article,WORK_OF_ART,2,2
"References 
Bertsekas",ORG,1,1
Dimitri P.,PERSON,1,1
MA,PERSON,1,1
Athena,ORG,1,1
Belmont,GPE,1,1
Michael,PERSON,3,2
Omari,PERSON,1,1
Sammy,PERSON,1,1
Hutter,GPE,1,1
Marco,PERSON,2,2
Roland,GPE,1,1
D.,NORP,42,12
R.,NORP,26,9
Control Systems Technology,ORG,1,1
28(2,GPE,1,1
376–387,CARDINAL,1,1
"C.,Carlone",GPE,1,1
